1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB00.AIM, 0.117331, 0.149861, 0.150853, 0.135201, 0.284523, 0.290236, 0.245350, 0.097661, 0.100143, 0.084043, 0.112537, 0.110289, 0.096220, 1.035526, 1.258921, 0.912420, 0.056252, 0.058904, 0.052911, 7.485700, 4.788482, 6.707029, 0.136609, 0.098000, 0.683699, 6.686829, 5.888622, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB01.AIM, 0.120427, 0.147881, 0.148172, 0.133368, 0.278565, 0.280717, 0.238317, 0.094659, 0.095393, 0.080288, 0.116364, 0.116690, 0.104032, 0.863934, 0.879451, 0.674367, 0.063940, 0.056564, 0.055282, 4.809361, 5.370499, 3.954544, 0.099943, 0.098001, 1.516975, 3.345636, 10.254513, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB02.AIM, 0.110044, 0.149900, 0.149655, 0.132545, 0.285713, 0.285701, 0.238094, 0.097463, 0.097454, 0.080291, 0.116323, 0.116097, 0.102288, 0.947475, 0.953569, 0.691883, 0.050044, 0.055671, 0.050033, 4.649446, 7.358202, 5.059792, 0.199787, 0.107293, 0.100658, 0.099631, 7.451595, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB03.AIM, 0.107249, 0.153835, 0.153800, 0.132699, 0.302987, 0.302394, 0.241321, 0.104537, 0.103904, 0.081948, 0.113692, 0.116348, 0.097920, 1.403307, 1.225923, 0.797128, 0.057386, 0.057695, 0.047519, 6.789521, 23.790462, 4.510542, 0.239017, 0.114710, 0.104838, 0.104714, 4.761333, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB04.AIM, 0.113201, 0.154603, 0.154417, 0.132522, 0.304000, 0.301189, 0.238655, 0.105270, 0.103691, 0.081093, 0.112431, 0.115771, 0.097553, 1.576685, 1.231407, 0.776120, 0.056217, 0.060025, 0.048699, 6.094667, 19.138057, 3.945424, 0.121338, 0.098000, 0.303455, 4.287148, 3.826574, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB05.AIM, 0.134117, 0.148699, 0.148552, 0.130316, 0.283255, 0.279317, 0.231809, 0.097547, 0.095690, 0.079094, 0.109735, 0.112805, 0.094126, 1.122175, 0.952978, 0.771802, 0.071518, 0.070655, 0.061223, 999.984659, 316.022521, 1.591582, 0.159942, 0.098000, 2.448875, 5.534662, 11.823988, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB06.AIM, 0.155483, 0.143271, 0.144205, 0.128786, 0.266515, 0.267374, 0.226931, 0.090829, 0.091250, 0.077041, 0.110848, 0.111046, 0.095187, 0.840744, 0.847395, 0.695020, 0.084494, 0.084660, 0.072163, 0.887537, 0.897246, 0.735886, 0.120760, 0.098002, 1.080969, 3.559014, 7.753938, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB07.AIM, 0.145605, 0.147784, 0.149895, 0.131332, 0.286761, 0.287023, 0.236271, 0.098778, 0.099008, 0.080513, 0.110217, 0.110804, 0.096030, 1.175771, 1.160421, 0.781996, 0.077484, 0.074262, 0.070454, 2.273065, 6.728094, 0.914694, 0.104169, 0.098000, 1.153750, 1.314919, 16.684632, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB08.AIM, 0.132282, 0.153731, 0.157302, 0.135814, 0.319046, 0.314780, 0.251712, 0.110432, 0.108526, 0.085896, 0.114179, 0.118195, 0.099791, 2.298401, 1.446883, 0.895243, 0.066266, 0.067650, 0.058237, 12.847492, 9.896675, 9.437440, 0.211411, 0.107254, 0.144650, 0.143665, 9.165645, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB09.AIM, 0.124743, 0.152216, 0.155893, 0.136038, 0.320327, 0.315223, 0.257324, 0.110722, 0.108367, 0.087867, 0.112925, 0.117863, 0.098722, 2.983550, 1.460707, 1.027426, 0.072303, 0.066679, 0.055509, 372.538258, 5.783211, 7.250262, 0.105606, 0.098000, 0.541194, 0.572742, 13.727490, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01A-1/SUB10.AIM, 0.139589, 0.150315, 0.154357, 0.135223, 0.307769, 0.308705, 0.256823, 0.106876, 0.107078, 0.088599, 0.106864, 0.110493, 0.092733, 79.998878, 2.280099, 1.591231, 0.078497, 0.068656, 0.056859, 1000.000000, 13.587380, 6.590512, 0.178084, 0.098000, 2.342049, 4.783854, 12.237559, 6300, 0.018000
