1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB00.AIM, 0.034352, 0.114891, 0.114069, 0.104023, 0.226010, 0.221143, 0.191237, 0.078152, 0.076890, 0.066312, 0.078150, 0.076888, 0.066312, 986.370395, 999.017737, 999.712870, 0.018000, 0.018000, 0.018000, 0.109646, 0.083411, 0.079748, 0.472145, 0.098000, 1.346264, 13.391818, 8.170098, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB01.AIM, 0.039408, 0.126181, 0.126326, 0.108544, 0.261905, 0.263007, 0.202190, 0.090537, 0.091420, 0.069637, 0.090536, 0.091420, 0.069635, 985.425192, 999.982888, 985.975727, 0.018000, 0.018000, 0.018000, 749.854229, 743.611286, 0.287202, 0.541813, 0.098000, 2.581947, 15.580249, 11.116135, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB02.AIM, 0.060632, 0.132484, 0.132561, 0.113828, 0.269262, 0.270459, 0.207214, 0.092655, 0.093036, 0.070325, 0.092659, 0.093040, 0.074976, 883.338530, 875.429035, 1.101337, 0.029522, 0.029587, 0.022760, 999.991735, 999.954262, 9.798845, 0.379378, 0.098040, 2.740033, 15.483235, 11.620792, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB03.AIM, 0.057280, 0.132837, 0.132558, 0.111861, 0.269195, 0.272757, 0.200490, 0.093142, 0.094191, 0.068318, 0.093143, 0.094184, 0.072225, 999.737786, 761.209723, 1.143645, 0.026847, 0.026918, 0.020357, 999.753356, 999.539591, 12.824942, 0.425754, 0.098053, 2.932598, 27.430459, 11.862073, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB04.AIM, 0.059378, 0.137326, 0.138233, 0.117847, 0.281701, 0.289887, 0.217040, 0.097218, 0.100224, 0.074346, 0.097216, 0.100222, 0.075704, 814.608660, 961.052530, 2.101344, 0.030259, 0.030605, 0.023119, 994.890980, 999.999782, 177.650737, 0.422718, 0.098046, 3.575844, 11.489535, 13.510244, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB05.AIM, 0.078015, 0.142194, 0.142309, 0.122164, 0.290970, 0.289217, 0.221132, 0.100283, 0.099496, 0.074675, 0.100539, 0.101971, 0.087190, 7.389286, 2.425084, 0.781319, 0.044507, 0.038115, 0.032687, 999.999105, 12.533320, 4.938663, 0.237147, 0.098000, 0.589695, 7.538455, 5.662532, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB06.AIM, 0.083147, 0.146480, 0.144011, 0.122496, 0.301502, 0.287986, 0.216781, 0.104428, 0.098993, 0.072944, 0.104406, 0.104783, 0.090138, 762.794549, 1.613344, 0.673377, 0.048418, 0.039148, 0.036062, 921.008300, 5.579132, 10.848195, 0.218710, 0.098000, 1.184355, 0.498330, 28.315847, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB07.AIM, 0.093520, 0.145295, 0.143730, 0.125117, 0.287455, 0.281163, 0.225394, 0.099911, 0.096565, 0.076566, 0.099925, 0.104634, 0.088648, 28.003973, 1.334580, 0.815380, 0.051177, 0.046790, 0.032798, 950.991579, 6.605484, 5.197370, 0.300074, 0.098005, 1.543708, 17.222284, 8.707223, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB08.AIM, 0.113732, 0.143523, 0.143372, 0.124827, 0.280648, 0.278011, 0.220981, 0.097531, 0.095886, 0.075168, 0.098284, 0.102474, 0.088309, 4.155505, 1.439482, 0.764513, 0.061646, 0.052395, 0.044848, 1000.000000, 5.728491, 5.101267, 0.214526, 0.098000, 3.268747, 3.273763, 50.349746, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB09.AIM, 0.109137, 0.148568, 0.147650, 0.121350, 0.299560, 0.292697, 0.210933, 0.104869, 0.101820, 0.071219, 0.104873, 0.102682, 0.087961, 929.878092, 4.150645, 0.651543, 0.062610, 0.062219, 0.043123, 821.646599, 1000.000000, 3.030892, 0.197585, 0.098000, 1.180211, 1.315075, 17.488497, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01B-1/SUB10.AIM, 0.099966, 0.152482, 0.151361, 0.124966, 0.306709, 0.300695, 0.222088, 0.107630, 0.105104, 0.075268, 0.107630, 0.105104, 0.089535, 998.092788, 989.811053, 0.745714, 0.058579, 0.058075, 0.037351, 664.014165, 793.112576, 3.430025, 0.187960, 0.098006, 0.543659, 8.441863, 5.228663, 6300, 0.018000
