1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB00.AIM, 0.100113, 0.143116, 0.137248, 0.130395, 0.289959, 0.283944, 0.245247, 0.101025, 0.098651, 0.084724, 0.101025, 0.098651, 0.086137, 976.928133, 999.820752, 2.497096, 0.054947, 0.051471, 0.045518, 1000.000000, 772.797774, 316.572630, 0.226300, 0.098000, 0.543186, 0.570448, 14.315428, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB01.AIM, 0.118281, 0.146170, 0.142169, 0.131074, 0.290802, 0.287198, 0.240943, 0.099352, 0.097911, 0.081891, 0.111511, 0.108994, 0.095831, 1.165469, 1.189372, 0.842009, 0.059922, 0.056918, 0.051708, 4.083516, 4.738424, 6.446251, 0.120541, 0.098000, 1.394938, 11.254915, 8.725977, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB02.AIM, 0.126014, 0.146499, 0.145474, 0.134141, 0.281079, 0.281867, 0.245688, 0.095102, 0.095601, 0.083028, 0.118048, 0.115919, 0.102966, 0.856714, 0.901208, 0.751208, 0.062676, 0.063410, 0.058791, 15.531408, 44.120221, 590.220891, 0.077270, 0.098000, 0.125562, 0.121037, 22.487843, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB03.AIM, 0.112108, 0.149966, 0.149454, 0.134589, 0.281734, 0.283698, 0.245294, 0.095662, 0.097012, 0.082943, 0.119577, 0.114347, 0.102733, 0.847694, 0.970320, 0.752120, 0.057699, 0.055670, 0.053213, 3.137830, 7.401327, 5.502387, 0.148085, 0.098000, 1.375112, 9.739062, 8.405839, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB04.AIM, 0.106335, 0.155078, 0.154288, 0.130862, 0.299850, 0.300320, 0.235621, 0.103062, 0.103416, 0.079700, 0.116925, 0.114534, 0.098236, 1.153396, 1.270026, 0.730904, 0.053339, 0.055154, 0.045068, 4.949801, 5.660241, 3.486411, 0.183714, 0.098000, 0.777684, 0.952240, 10.179142, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB05.AIM, 0.119860, 0.156785, 0.155159, 0.131508, 0.302957, 0.299745, 0.235840, 0.104391, 0.103422, 0.080200, 0.117605, 0.114913, 0.096329, 1.194631, 1.251050, 0.772536, 0.065577, 0.059353, 0.052120, 5.214062, 5.451289, 6.067498, 0.141261, 0.098000, 1.193968, 3.996721, 8.101646, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB06.AIM, 0.135705, 0.151947, 0.150936, 0.132007, 0.282899, 0.282363, 0.234375, 0.096940, 0.096837, 0.079888, 0.116239, 0.114244, 0.096684, 0.926405, 0.963549, 0.752290, 0.073606, 0.070810, 0.062309, 1.963294, 12.005402, 1.304078, 0.114018, 0.098000, 1.418106, 1.774576, 14.212294, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB07.AIM, 0.152514, 0.144227, 0.143566, 0.128706, 0.261667, 0.261962, 0.223937, 0.089299, 0.089356, 0.075987, 0.110269, 0.109509, 0.095207, 0.802713, 0.818231, 0.668357, 0.084432, 0.083938, 0.072725, 0.846000, 0.862467, 0.703090, 0.136223, 0.098000, 1.887979, 2.378165, 15.403639, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB08.AIM, 0.148377, 0.146251, 0.145961, 0.131258, 0.267350, 0.267906, 0.231497, 0.091270, 0.091612, 0.078572, 0.112653, 0.111193, 0.098123, 0.820894, 0.853620, 0.696277, 0.086005, 0.084668, 0.075557, 0.871301, 0.915339, 0.729028, 0.117164, 0.098000, 1.340426, 1.604080, 14.827434, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB09.AIM, 0.138705, 0.155587, 0.155497, 0.138092, 0.296597, 0.298137, 0.253026, 0.101694, 0.102399, 0.086509, 0.119572, 0.118814, 0.101437, 1.016708, 1.064618, 0.878774, 0.078197, 0.075210, 0.068283, 2.248578, 25.192166, 1.539370, 0.090134, 0.098000, 0.534710, 0.539188, 35.329578, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01C-1/SUB10.AIM, 0.165613, 0.153752, 0.153629, 0.138739, 0.302653, 0.300502, 0.259918, 0.105362, 0.103390, 0.089544, 0.108429, 0.115470, 0.096886, 2.334515, 1.223676, 1.237337, 0.080361, 0.084527, 0.069841, 157.731482, 1.546027, 2.089868, 0.223840, 0.098000, 1.922717, 10.079518, 9.804780, 6300, 0.018000
