1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB00.AIM, 0.071604, 0.122488, 0.120914, 0.109903, 0.244583, 0.237147, 0.202713, 0.085362, 0.082398, 0.070719, 0.085361, 0.082395, 0.070724, 999.687958, 986.949579, 985.031077, 0.032938, 0.032276, 0.028475, 999.010613, 999.999725, 1000.000000, 0.657234, 0.098000, 3.029440, 4.684072, 14.554560, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB01.AIM, 0.034590, 0.116138, 0.116292, 0.103777, 0.228956, 0.229337, 0.190083, 0.079569, 0.079568, 0.066131, 0.079568, 0.079565, 0.066129, 999.260667, 915.896603, 995.162674, 0.018000, 0.018000, 0.018000, 0.107936, 0.105067, 0.109289, 0.451922, 0.098000, 1.077265, 20.226123, 7.237039, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB02.AIM, 0.040352, 0.124489, 0.125455, 0.106627, 0.255354, 0.259790, 0.195733, 0.088818, 0.090313, 0.067630, 0.088817, 0.090321, 0.067635, 998.644435, 983.930928, 972.725036, 0.018000, 0.018000, 0.018000, 1000.000000, 749.876014, 999.806273, 0.508429, 0.098000, 13.606811, 11.681974, 31.427064, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB03.AIM, 0.067341, 0.132966, 0.134208, 0.114389, 0.267808, 0.274190, 0.208848, 0.092380, 0.094369, 0.071180, 0.092383, 0.094365, 0.074097, 498.901209, 777.649142, 1.385789, 0.034652, 0.035206, 0.025641, 998.206237, 992.379076, 18.436496, 0.358713, 0.098028, 1.219755, 19.400393, 7.962755, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB04.AIM, 0.069091, 0.134007, 0.135276, 0.115301, 0.270933, 0.274751, 0.207585, 0.093710, 0.094718, 0.070688, 0.093710, 0.094713, 0.075730, 994.791844, 703.941532, 1.064315, 0.034442, 0.036322, 0.025907, 681.575627, 985.107083, 13.217060, 0.376914, 0.098015, 2.212252, 13.777634, 10.624367, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB05.AIM, 0.055420, 0.136315, 0.136913, 0.114440, 0.293829, 0.289419, 0.208699, 0.102777, 0.100671, 0.071299, 0.102779, 0.100671, 0.071328, 999.994504, 998.805222, 23.537163, 0.027855, 0.027899, 0.022495, 1000.000000, 1000.000000, 1000.000000, 0.399758, 0.098067, 1.858102, 16.289043, 9.707151, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB06.AIM, 0.064617, 0.141671, 0.141850, 0.119490, 0.301394, 0.299134, 0.220127, 0.105414, 0.103770, 0.075232, 0.105443, 0.103769, 0.078979, 854.262507, 929.753129, 1.332345, 0.034642, 0.034878, 0.024990, 959.775017, 999.999991, 20.100523, 0.428002, 0.098021, 2.043955, 18.309214, 10.124307, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB07.AIM, 0.083723, 0.143238, 0.142545, 0.122460, 0.294559, 0.287209, 0.221653, 0.101899, 0.099233, 0.075225, 0.101877, 0.100523, 0.085516, 778.875807, 3.312648, 0.853424, 0.046683, 0.045746, 0.035641, 786.467223, 578.179145, 3.777666, 0.224590, 0.098033, 1.099029, 7.262707, 7.853574, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB08.AIM, 0.087496, 0.145812, 0.145190, 0.122877, 0.296576, 0.291518, 0.219430, 0.102184, 0.100544, 0.074167, 0.105322, 0.104205, 0.088211, 2.242150, 2.040369, 0.739543, 0.046480, 0.045998, 0.037714, 46.203343, 38.318414, 11.387613, 0.212365, 0.103496, 0.106388, 0.107453, 3.826618, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB09.AIM, 0.096756, 0.143078, 0.143854, 0.124967, 0.281334, 0.283553, 0.225395, 0.097051, 0.097995, 0.076727, 0.097019, 0.101938, 0.087643, 51.691797, 1.888242, 0.851203, 0.052615, 0.046242, 0.040627, 854.070421, 17.437866, 6.240414, 0.312155, 0.098000, 2.512261, 2.784882, 23.246841, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A01D-1/SUB10.AIM, 0.109715, 0.141451, 0.141078, 0.125420, 0.277394, 0.274298, 0.223776, 0.096376, 0.094906, 0.076464, 0.096430, 0.098497, 0.087001, 14.657063, 1.881354, 0.853926, 0.058481, 0.057992, 0.044527, 1000.000000, 1000.000000, 6.776384, 0.226568, 0.098000, 5.889053, 6.290127, 58.998024, 6300, 0.018000
