1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB00.AIM, 0.211218, 0.260846, 0.262441, 0.234990, 0.525905, 0.525310, 0.476847, 0.179951, 0.180338, 0.165901, 0.240181, 0.240238, 0.189419, 1.422255, 1.414311, 1.792018, 0.180614, 0.179664, 0.132683, 1.423101, 1.423457, 2.211186, 0.571782, 0.240401, 0.126023, 0.393981, 1.149875, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB01.AIM, 0.214783, 0.257818, 0.256747, 0.236038, 0.516553, 0.507380, 0.478047, 0.177107, 0.173707, 0.165761, 0.235883, 0.237173, 0.194524, 1.394451, 1.325131, 1.656000, 0.175989, 0.178475, 0.137500, 1.402173, 1.324746, 1.880540, 0.555041, 0.231972, 0.123779, 0.278787, 1.150768, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB02.AIM, 0.213945, 0.259335, 0.259247, 0.235540, 0.523268, 0.526737, 0.485301, 0.179946, 0.181606, 0.169218, 0.236731, 0.229871, 0.189286, 1.427374, 1.537447, 1.969751, 0.175173, 0.167625, 0.131115, 1.446919, 1.586632, 2.754274, 0.572614, 0.233992, 0.129369, 0.441221, 1.190225, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB03.AIM, 0.219475, 0.262037, 0.264548, 0.236670, 0.529180, 0.544879, 0.480304, 0.180501, 0.188442, 0.166737, 0.250103, 0.232869, 0.193880, 1.355789, 1.654161, 1.695592, 0.189458, 0.167361, 0.135670, 1.345532, 1.742861, 1.981188, 0.548319, 0.197543, 0.137416, 0.186592, 1.625118, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB04.AIM, 0.246113, 0.247829, 0.248732, 0.230541, 0.484609, 0.486654, 0.456806, 0.165342, 0.166440, 0.158515, 0.233964, 0.232949, 0.189291, 1.212134, 1.230112, 1.500619, 0.172315, 0.170543, 0.130133, 1.206807, 1.229638, 1.695466, 0.284455, 0.098000, 0.169156, 0.169050, 71.409591, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB05.AIM, 0.250735, 0.247917, 0.247339, 0.231054, 0.484197, 0.481068, 0.456589, 0.165479, 0.163893, 0.158301, 0.233070, 0.234791, 0.190244, 1.213072, 1.189161, 1.484321, 0.170060, 0.172812, 0.130472, 1.211818, 1.180991, 1.662776, 0.393008, 0.116718, 0.160353, 0.160295, 34.870939, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB06.AIM, 0.229398, 0.263108, 0.263848, 0.241792, 0.525355, 0.527822, 0.488722, 0.179662, 0.179289, 0.169916, 0.248679, 0.257869, 0.197935, 1.347919, 1.303186, 1.716839, 0.185500, 0.196882, 0.137265, 1.342951, 1.283749, 2.014360, 0.539321, 0.184943, 0.138292, 0.141309, 5.117480, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB07.AIM, 0.219657, 0.267865, 0.270535, 0.244809, 0.539613, 0.546305, 0.496949, 0.184273, 0.185156, 0.171975, 0.254821, 0.267721, 0.204519, 1.390878, 1.342768, 1.649064, 0.192949, 0.208730, 0.144518, 1.380285, 1.316474, 1.831631, 0.610043, 0.463875, 0.100320, 1.448851, 0.973003, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB08.AIM, 0.223411, 0.263259, 0.266361, 0.242357, 0.533044, 0.535033, 0.497876, 0.181496, 0.181738, 0.172521, 0.252600, 0.257097, 0.199643, 1.361424, 1.344629, 1.787152, 0.191900, 0.196799, 0.139379, 1.346803, 1.325209, 2.120534, 0.593584, 0.299769, 0.115171, 1.351426, 1.047666, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A03A-B/SUB09.AIM, 0.229726, 0.260634, 0.263244, 0.238425, 0.531267, 0.528509, 0.487225, 0.181923, 0.179787, 0.168255, 0.243078, 0.252838, 0.200243, 1.420794, 1.335793, 1.621080, 0.179275, 0.191146, 0.140493, 1.427969, 1.320505, 1.807036, 0.591560, 0.252241, 0.125049, 0.580623, 1.133967, 5700, 0.018000
