1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB00.AIM, 0.304880, 0.280710, 0.277237, 0.270832, 0.533192, 0.518745, 0.551633, 0.183609, 0.175668, 0.192626, 0.257839, 0.282071, 0.221784, 1.333858, 1.161300, 2.013122, 0.179000, 0.207287, 0.144806, 1.346688, 1.142727, 2.689498, 0.604856, 0.196345, 0.130750, 0.153197, 1.945412, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB01.AIM, 0.291666, 0.293996, 0.286081, 0.272964, 0.569575, 0.544997, 0.557087, 0.195771, 0.185006, 0.195511, 0.270156, 0.285006, 0.217914, 1.459896, 1.259307, 2.290351, 0.189642, 0.209258, 0.143306, 1.471023, 1.240243, 3.551326, 0.675512, 0.319457, 0.114154, 1.273770, 1.052192, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB02.AIM, 0.286797, 0.298890, 0.290015, 0.270618, 0.585084, 0.569615, 0.553587, 0.199108, 0.194695, 0.194635, 0.288724, 0.280125, 0.212559, 1.431027, 1.392467, 2.493527, 0.209607, 0.201350, 0.141738, 1.412753, 1.384084, 3.956370, 0.659034, 0.233137, 0.133893, 0.345587, 1.228197, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB03.AIM, 0.280078, 0.300838, 0.295385, 0.276466, 0.601630, 0.593690, 0.563711, 0.205701, 0.205146, 0.196521, 0.282050, 0.266214, 0.227801, 1.565032, 1.645288, 2.000922, 0.201806, 0.184947, 0.152007, 1.563129, 1.700182, 2.474778, 0.618525, 0.157621, 0.171932, 0.171985, 43.182141, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB04.AIM, 0.289109, 0.364620, 0.359988, 0.345319, 0.798075, 0.786425, 0.787769, 0.281898, 0.275243, 0.276811, 0.300557, 0.311333, 0.288075, 4.148672, 3.021092, 5.164905, 0.198849, 0.205962, 0.195953, 510.943499, 4.178141, 890.738742, 0.662153, 0.100915, 0.375805, 0.375783, 207.376805, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB05.AIM, 0.309275, 0.476445, 0.470909, 0.467307, 1.004244, 0.998784, 1.060897, 0.350556, 0.352268, 0.374873, 0.450497, 0.422228, 0.412591, 2.835017, 3.230210, 4.553930, 0.307205, 0.279833, 0.268578, 2.947109, 3.682008, 8.682115, 1.144438, 0.174015, 0.282471, 0.386131, 3.318313, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB06.AIM, 0.381331, 0.537207, 0.533622, 0.534093, 1.216399, 1.287822, 1.232057, 0.441756, 0.471310, 0.432790, 0.441757, 0.471310, 0.503489, 999.714129, 999.999986, 4.281242, 0.303299, 0.325913, 0.322778, 995.368624, 950.928330, 5.528155, 1.560178, 0.098000, 0.620152, 0.620193, 308.394332, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB07.AIM, 0.373326, 0.425078, 0.420571, 0.422218, 1.120858, 1.195938, 1.066470, 0.415551, 0.436254, 0.377603, 0.415545, 0.436246, 0.377603, 999.999654, 999.999411, 999.980786, 0.292581, 0.309974, 0.262752, 1000.000000, 1000.000000, 999.998322, 1.635080, 0.098000, 0.923052, 0.932652, 34.772240, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB08.AIM, 0.329220, 0.360290, 0.353252, 0.356303, 0.824429, 0.825119, 0.863427, 0.294666, 0.288269, 0.307621, 0.294666, 0.305893, 0.307644, 999.956727, 4.478158, 959.998432, 0.205755, 0.201933, 0.216343, 999.999987, 1000.000000, 999.862919, 0.861228, 0.098000, 0.453240, 0.453236, 210.652370, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB09.AIM, 0.397265, 0.456321, 0.454294, 0.444283, 1.103013, 1.121753, 1.038983, 0.408035, 0.411016, 0.368668, 0.408034, 0.411017, 0.388241, 999.999825, 999.999986, 5.997579, 0.282589, 0.284408, 0.253076, 999.999440, 999.986074, 999.998717, 1.468086, 0.098000, 0.527958, 0.527985, 366.807868, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB10.AIM, 0.391647, 0.453798, 0.455691, 0.443639, 1.099041, 1.110038, 1.029832, 0.405451, 0.412568, 0.362777, 0.405450, 0.412565, 0.398906, 999.998687, 999.996319, 4.464790, 0.281773, 0.286116, 0.250330, 999.991803, 999.996023, 20.397643, 1.392761, 0.098000, 0.477268, 0.815594, 4.878937, 6300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-B/SUB11.AIM, 0.339204, 0.343472, 0.337832, 0.334508, 0.715667, 0.702830, 0.752195, 0.258541, 0.245598, 0.266887, 0.258541, 0.292372, 0.266887, 998.718482, 2.307687, 999.993156, 0.178442, 0.191655, 0.186054, 999.999999, 2.681081, 994.835970, 0.820985, 0.123518, 0.279205, 0.279238, 133.579491, 6900, 0.018000
