1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB00.AIM, 0.292341, 0.234710, 0.247840, 0.224466, 0.499085, 0.506746, 0.457700, 0.174558, 0.177634, 0.159283, 0.198913, 0.204482, 0.185895, 1.843567, 1.804620, 1.596507, 0.132302, 0.135950, 0.124022, 2.352748, 2.216114, 1.896993, 0.476547, 0.098000, 0.397720, 0.398052, 114.790983, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB01.AIM, 0.273225, 0.261742, 0.272484, 0.242564, 0.512311, 0.523546, 0.475408, 0.174698, 0.179169, 0.166074, 0.256911, 0.258267, 0.196370, 1.233249, 1.282957, 1.599922, 0.187040, 0.185879, 0.131452, 1.222223, 1.277736, 1.877338, 0.579240, 0.215354, 0.127154, 0.235879, 1.251219, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB02.AIM, 0.262628, 0.275689, 0.284879, 0.252198, 0.540830, 0.555760, 0.494676, 0.185487, 0.189598, 0.173285, 0.261729, 0.276435, 0.202361, 1.350054, 1.350421, 1.724363, 0.189004, 0.203615, 0.136041, 1.350309, 1.336391, 2.076996, 0.622954, 0.317901, 0.110946, 1.395718, 1.037144, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB03.AIM, 0.274411, 0.275807, 0.281942, 0.252375, 0.532238, 0.542275, 0.487818, 0.182596, 0.185730, 0.170244, 0.258773, 0.265890, 0.206888, 1.323338, 1.338081, 1.535609, 0.185351, 0.191577, 0.139718, 1.324395, 1.334160, 1.710917, 0.616766, 0.267016, 0.117448, 0.584980, 1.067087, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB04.AIM, 0.278716, 0.278082, 0.281436, 0.249617, 0.534998, 0.534563, 0.477606, 0.182409, 0.183839, 0.166152, 0.268148, 0.259389, 0.206956, 1.289433, 1.335648, 1.432224, 0.194836, 0.184137, 0.140152, 1.277029, 1.340162, 1.550426, 0.628163, 0.312132, 0.109139, 1.084728, 0.993675, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB05.AIM, 0.278827, 0.275487, 0.280700, 0.249370, 0.531239, 0.533985, 0.480529, 0.181602, 0.183551, 0.166686, 0.259984, 0.257921, 0.207326, 1.313376, 1.343107, 1.449367, 0.186736, 0.182714, 0.140678, 1.308134, 1.349724, 1.565735, 0.614303, 0.276786, 0.113585, 0.583537, 1.009188, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB06.AIM, 0.278804, 0.276330, 0.281252, 0.255138, 0.526479, 0.538374, 0.501342, 0.180446, 0.185151, 0.174976, 0.258381, 0.255734, 0.206332, 1.298746, 1.381856, 1.702297, 0.184942, 0.180896, 0.137931, 1.297439, 1.392039, 2.013568, 0.617014, 0.249763, 0.121014, 0.363602, 1.093403, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB07.AIM, 0.277774, 0.281484, 0.284485, 0.259002, 0.536327, 0.546929, 0.507534, 0.182542, 0.186796, 0.176497, 0.278047, 0.270163, 0.214155, 1.249536, 1.340616, 1.604014, 0.204913, 0.195460, 0.144504, 1.233644, 1.330797, 1.792991, 0.644936, 0.279226, 0.119021, 1.121588, 1.081619, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB08.AIM, 0.275773, 0.279318, 0.283616, 0.259550, 0.536461, 0.538568, 0.518464, 0.181159, 0.182569, 0.180752, 0.286939, 0.283454, 0.210345, 1.219823, 1.245815, 1.822858, 0.217656, 0.211718, 0.139972, 1.194262, 1.223701, 2.261111, 0.641829, 0.297267, 0.115048, 1.284602, 1.056322, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/A05B-T/SUB09.AIM, 0.280384, 0.278634, 0.284937, 0.267142, 0.542247, 0.547524, 0.546479, 0.183046, 0.186209, 0.191387, 0.285489, 0.280199, 0.213525, 1.247555, 1.295466, 2.235827, 0.216038, 0.206158, 0.142273, 1.220154, 1.277025, 3.175671, 0.611842, 0.232581, 0.125332, 0.340641, 1.144780, 5700, 0.018000
