SlabNo,Freq,Eabs,Emet,r0,t0,ya',yb',ya,ys,ya mod,SSA
1,19,0.93219,0.020157,0.40923,0.95022,0.086691,0.2033,0.035098,0.45819,0.039073,35.002
1,21,0.91116,0.026736,0.45396,0.93624,0.10021,0.30515,0.038979,0.67153,0.047664,35.002
1,37,0.9312,0.060629,0.30376,0.92387,0.17127,0.21465,0.07902,0.52154,0.14734,35.002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,21,0.58846,0.13241,0.58264,0.67213,0.52072,3.4835,0.1836,7.3042,0.084435,14.565
2,37,0.53544,0.30768,0.52955,0.45757,1.1951,5.7191,0.43028,12.203,0.26161,14.565
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,19,0.93059,0.069949,0.13076,0.92133,0.2876,0.099545,0.17572,0.31097,0.087324,17.451
3,21,0.93498,0.078625,0.10255,0.92052,0.30782,0.078388,0.20515,0.25945,0.10631,17.451
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,19,0.7973,0.22963,0.33799,0.7301,0.65744,1.014,0.2744,2.4111,0.086139,11.016
4,21,0.77444,0.33957,0.31334,0.63293,1.0101,1.3426,0.43388,3.2614,0.10487,11.016
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,19,0.81384,0.11284,0.35213,0.81764,0.48338,0.81105,0.19506,1.9104,0.11007,15.825
5,21,0.86395,0.14161,0.23594,0.83437,0.56091,0.45339,0.26184,1.2058,0.13401,15.825
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,90,0.6205,0.61759,0.36436,0.048968,7.0419,12.701,2.8099,29.633,2.4288,15.825
5,150,0.59057,0.61913,0.40337,0.16419,3.8487,8.7225,1.4873,19.806,6.7558,15.825
6,19,0.85528,0.081933,0.30642,0.86344,0.40967,0.52189,0.17384,1.2796,0.093452,17.483
6,21,0.88153,0.11589,0.21589,0.86221,0.50245,0.35287,0.24354,0.96464,0.11392,17.483
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,90,0.6593,0.6261,0.33043,0.1614,4.8241,7.1111,1.993,17.053,2.0758,17.483
6,150,0.6271,0.62512,0.3579,0.048427,7.5243,13.063,3.0252,30.625,5.7768,17.483
7,19,0.84899,0.068023,0.3281,0.86768,0.37974,0.55195,0.15705,1.3266,0.10004,15.48
7,21,0.82711,0.094648,0.34597,0.83752,0.45563,0.73703,0.18505,1.7446,0.12191,15.48
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,90,0.58377,0.56893,0.40458,0.087866,5.4518,12.443,2.1057,28.232,2.2173,15.48
7,150,0.58007,0.5828,0.40872,0.088843,5.3734,12.564,2.0691,28.432,6.1696,15.48
8,19,0.94095,0.031387,0.32606,0.94731,0.14281,0.20504,0.06352,0.48936,0.041627,35.826
8,21,0.9363,0.044215,0.31228,0.9368,0.17761,0.23454,0.080562,0.56613,0.05077,35.826
8,37,0.91774,0.08651,0.30155,0.90034,0.29248,0.36159,0.13482,0.88084,0.15686,35.826
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,19,0.87205,0.047124,0.45801,0.90214,0.18782,0.58569,0.072057,1.2871,0.0487,35.163
9,21,0.87801,0.067941,0.40494,0.88992,0.24232,0.55425,0.097185,1.2536,0.059393,35.163
9,37,0.86133,0.12916,0.35693,0.83987,0.40574,0.70039,0.17105,1.6355,0.18345,35.163
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,19,0.86084,0.044,0.39262,0.8917,0.27358,0.58235,0.10799,1.3303,0.085496,21.971
