SlabNo,Freq,Eabs,Emet,r0,t0,ya',yb',ya,ys,ya mod,SSA
1,19,0.99318,0.022831,0.19228,0.98302,0.046983,0.027694,0.026891,0.07548,0.039073,35.002
1,21,0.99113,0.029062,0.19599,0.97823,0.059938,0.036344,0.034008,0.098616,0.047664,35.002
1,37,0.9909,0.061209,0.1158,0.96086,0.12814,0.037956,0.089944,0.1141,0.14734,35.002
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,21,0.86088,0.16466,0.37874,0.81724,0.45197,0.88703,0.17888,2.0471,0.084435,14.565
2,37,0.74366,0.40219,0.35572,0.55448,1.3929,2.3873,0.5629,5.6045,0.26161,14.565
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,19,0.99734,0.063809,0.03858,0.96501,0.15056,0.012569,0.12738,0.048321,0.087324,17.451
3,21,0.99768,0.077905,0.028115,0.958,0.18521,0.011026,0.16374,0.043513,0.10631,17.451
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,19,0.92722,0.23671,0.20798,0.81246,0.57518,0.3814,0.29192,1.0461,0.086139,11.016
4,21,0.90106,0.34039,0.20425,0.72543,0.89593,0.57796,0.45817,1.5937,0.10487,11.016
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,19,0.96054,0.12237,0.20951,0.90477,0.32773,0.21976,0.16021,0.60704,0.11007,15.825
5,21,0.96232,0.14777,0.17857,0.89137,0.40159,0.21256,0.20898,0.61772,0.13401,15.825
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,90,0.66603,0.67776,0.33692,0.099581,5.7327,8.7859,2.3481,20.956,2.4288,15.825
5,150,0.62534,0.65336,0.38246,0.1545,4.18,8.3844,1.6422,19.307,6.7558,15.825
6,19,0.96517,0.088539,0.23702,0.9275,0.24397,0.19866,0.11402,0.52727,0.093452,17.483
6,21,0.96513,0.13198,0.18269,0.90247,0.3727,0.20385,0.19293,0.58748,0.11392,17.483
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,90,0.7178,0.69191,0.28801,0.14836,5.5434,6.2991,2.406,15.736,2.0758,17.483
6,150,0.6701,0.66528,0.33108,0.063741,7.2707,10.76,3.0017,25.789,5.7768,17.483
7,19,0.96326,0.068816,0.28387,0.938,0.18879,0.20899,0.082238,0.52454,0.10004,15.48
7,21,0.95944,0.093217,0.25285,0.9211,0.2592,0.23482,0.11792,0.61091,0.12191,15.48
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,90,0.65616,0.64352,0.34709,0.10342,5.8156,9.4703,2.3593,22.397,2.2173,15.48
7,150,0.64891,0.64397,0.35237,0.06458,6.9386,11.658,2.8007,27.454,6.1696,15.48
8,19,0.98303,0.033843,0.2697,0.97043,0.089638,0.090655,0.04353,0.22742,0.041627,35.826
8,21,0.98574,0.044283,0.20475,0.9662,0.11785,0.076306,0.065145,0.20531,0.05077,35.826
8,37,0.97074,0.090356,0.20825,0.93016,0.2463,0.16365,0.13509,0.43851,0.15686,35.826
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,19,0.95908,0.043679,0.37735,0.95169,0.10981,0.21377,0.045265,0.49208,0.0487,35.163
9,21,0.96285,0.059969,0.30754,0.94317,0.15201,0.19499,0.06827,0.47372,0.059393,35.163
9,37,0.94006,0.12733,0.26792,0.88836,0.33532,0.33525,0.16016,0.84565,0.18345,35.163
