1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB00.AIM, 0.314780, 0.211231, 0.208251, 0.175257, 0.369718, 0.364569, 0.298230, 0.126504, 0.124059, 0.102511, 0.193738, 0.199994, 0.146164, 0.856229, 0.811991, 0.735485, 0.134767, 0.140977, 0.099257, 0.855798, 0.808691, 0.746438, 0.384231, 0.157918, 0.094061, 0.094098, 13.897843, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB01.AIM, 0.315337, 0.215728, 0.211270, 0.177024, 0.376426, 0.368757, 0.298163, 0.129165, 0.125691, 0.101896, 0.194555, 0.198538, 0.153411, 0.882650, 0.834624, 0.699608, 0.134560, 0.138658, 0.106317, 0.884108, 0.833280, 0.701167, 0.397588, 0.165370, 0.093704, 0.093762, 9.553581, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB02.AIM, 0.311794, 0.217965, 0.213885, 0.176495, 0.379535, 0.373763, 0.295277, 0.129994, 0.127672, 0.101102, 0.198555, 0.196967, 0.150662, 0.880141, 0.862716, 0.699547, 0.137877, 0.137413, 0.101895, 0.879694, 0.860945, 0.709382, 0.400035, 0.171902, 0.092067, 0.092200, 9.378972, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB03.AIM, 0.308242, 0.222681, 0.221323, 0.175508, 0.392663, 0.391740, 0.296172, 0.134559, 0.134827, 0.101968, 0.203540, 0.196292, 0.144283, 0.921314, 0.950321, 0.739060, 0.141845, 0.134493, 0.096975, 0.921587, 0.960344, 0.756488, 0.370788, 0.138346, 0.102742, 0.102713, 26.533699, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB04.AIM, 0.312817, 0.223448, 0.223991, 0.174371, 0.399663, 0.400427, 0.292737, 0.137389, 0.137768, 0.100368, 0.201377, 0.200339, 0.148001, 0.963494, 0.972740, 0.699121, 0.138317, 0.138022, 0.101027, 0.971587, 0.978323, 0.705915, 0.307805, 0.098017, 1.039641, 0.222037, 128.921360, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB05.AIM, 0.326870, 0.219940, 0.220785, 0.173032, 0.395311, 0.392538, 0.289316, 0.136504, 0.135000, 0.098689, 0.192857, 0.198386, 0.152514, 0.985474, 0.943552, 0.664262, 0.131307, 0.135887, 0.103203, 0.998776, 0.949177, 0.670552, 0.395511, 0.098000, 0.953527, 7.891925, 7.044713, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB06.AIM, 0.348805, 0.211254, 0.213472, 0.171532, 0.375857, 0.379415, 0.286693, 0.129266, 0.131074, 0.097466, 0.188499, 0.188816, 0.152844, 0.906791, 0.922256, 0.652046, 0.126631, 0.125813, 0.103002, 0.918059, 0.940732, 0.655554, 0.352941, 0.098032, 0.188414, 0.187195, 126.596422, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB07.AIM, 0.340350, 0.218770, 0.220720, 0.180730, 0.395829, 0.399403, 0.311402, 0.137058, 0.138753, 0.106913, 0.188159, 0.188110, 0.152476, 1.019468, 1.039462, 0.770948, 0.125155, 0.124451, 0.101486, 1.050660, 1.080605, 0.788088, 0.387305, 0.098000, 0.230488, 0.230141, 31.671493, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB08.AIM, 0.327893, 0.226653, 0.228051, 0.185643, 0.410951, 0.411010, 0.320960, 0.142498, 0.141676, 0.110281, 0.194307, 0.202684, 0.156122, 1.066639, 1.012746, 0.801818, 0.129928, 0.137500, 0.104539, 1.100584, 1.027084, 0.819802, 0.459979, 0.180004, 0.103809, 0.106818, 3.239378, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB09.AIM, 0.321849, 0.230081, 0.231587, 0.186051, 0.411420, 0.413623, 0.318806, 0.141160, 0.141806, 0.109557, 0.211428, 0.213929, 0.157267, 0.969592, 0.970349, 0.783285, 0.145506, 0.148307, 0.105893, 0.973802, 0.970509, 0.798195, 0.354652, 0.098014, 1.402782, 1.514467, 24.268453, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B04A-B/SUB10.AIM, 0.324248, 0.234673, 0.235498, 0.189443, 0.416925, 0.416520, 0.326969, 0.142380, 0.142599, 0.113073, 0.223639, 0.221563, 0.155395, 0.946414, 0.952480, 0.841614, 0.156051, 0.154154, 0.103050, 0.943702, 0.950868, 0.871531, 0.420420, 0.098000, 2.014343, 2.216321, 28.136412, 6300, 0.018000
