1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB00.AIM, 0.342739, 0.226302, 0.233904, 0.194330, 0.432075, 0.447420, 0.364761, 0.147844, 0.152997, 0.125653, 0.218553, 0.222114, 0.164536, 1.027116, 1.087771, 1.005958, 0.150712, 0.152953, 0.109132, 1.027861, 1.088625, 1.053002, 0.413699, 0.098000, 1.346235, 1.546263, 19.140304, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB01.AIM, 0.339738, 0.237522, 0.241980, 0.196856, 0.451421, 0.455763, 0.364304, 0.154417, 0.155474, 0.125447, 0.226153, 0.232503, 0.167278, 1.086878, 1.079429, 0.975290, 0.156018, 0.161642, 0.111246, 1.087444, 1.073925, 1.012909, 0.525607, 0.195561, 0.106064, 0.133631, 1.366020, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB02.AIM, 0.355842, 0.231984, 0.235868, 0.193358, 0.440223, 0.444575, 0.352085, 0.152057, 0.153196, 0.120589, 0.206599, 0.212457, 0.170944, 1.146636, 1.132253, 0.872935, 0.137517, 0.142334, 0.114155, 1.180043, 1.153463, 0.889649, 0.426871, 0.098029, 0.205737, 0.205263, 85.832302, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB03.AIM, 0.365091, 0.227135, 0.230116, 0.195048, 0.424666, 0.426940, 0.352308, 0.147151, 0.147861, 0.120156, 0.198663, 0.200987, 0.176284, 1.109883, 1.110323, 0.846578, 0.131108, 0.132814, 0.118751, 1.147684, 1.144584, 0.851827, 0.452380, 0.098020, 0.322208, 0.322394, 132.384213, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB04.AIM, 0.358732, 0.230889, 0.233395, 0.197432, 0.428238, 0.433349, 0.362822, 0.147096, 0.150007, 0.124908, 0.215023, 0.207234, 0.168025, 1.027295, 1.101935, 0.961760, 0.145257, 0.137477, 0.110864, 1.035570, 1.131932, 0.997058, 0.452142, 0.108695, 0.153993, 0.153952, 41.914687, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB05.AIM, 0.346447, 0.242301, 0.245185, 0.204753, 0.451374, 0.463704, 0.383485, 0.153985, 0.160106, 0.132287, 0.237456, 0.221624, 0.173406, 1.038899, 1.179275, 1.055117, 0.165203, 0.148867, 0.114635, 1.033075, 1.203274, 1.106143, 0.551531, 0.207051, 0.106143, 0.169352, 1.111006, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB06.AIM, 0.338076, 0.250367, 0.252950, 0.217942, 0.462535, 0.470839, 0.409186, 0.156504, 0.160897, 0.140302, 0.257392, 0.241716, 0.194242, 1.020042, 1.109181, 1.048387, 0.185111, 0.168294, 0.131470, 1.005766, 1.103351, 1.066322, 0.593648, 0.358782, 0.085992, 0.796439, 0.811940, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB07.AIM, 0.345273, 0.247374, 0.249194, 0.217794, 0.453885, 0.458168, 0.408237, 0.153475, 0.156053, 0.140170, 0.255136, 0.244059, 0.192718, 0.993230, 1.043254, 1.053228, 0.183005, 0.170948, 0.129623, 0.979316, 1.034672, 1.074755, 0.552998, 0.218300, 0.102234, 0.179314, 1.005927, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB08.AIM, 0.350755, 0.250104, 0.252153, 0.217384, 0.464321, 0.468156, 0.405991, 0.159125, 0.159438, 0.139723, 0.239324, 0.251151, 0.188674, 1.087161, 1.058718, 1.073922, 0.164666, 0.175885, 0.125969, 1.086592, 1.049800, 1.103378, 0.577228, 0.263194, 0.095386, 0.701435, 0.863257, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB09.AIM, 0.346650, 0.253831, 0.256643, 0.221893, 0.478665, 0.483830, 0.420537, 0.165391, 0.165016, 0.145223, 0.230489, 0.252634, 0.189738, 1.207014, 1.119182, 1.164849, 0.154902, 0.176368, 0.125676, 1.231141, 1.111497, 1.219954, 0.594003, 0.263841, 0.098930, 0.757550, 0.903239, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-B/SUB10.AIM, 0.366933, 0.245274, 0.245793, 0.218495, 0.475096, 0.475651, 0.421333, 0.164791, 0.164251, 0.146477, 0.216871, 0.222132, 0.181047, 1.287226, 1.246544, 1.277487, 0.142690, 0.147640, 0.117049, 1.348177, 1.282212, 1.423391, 0.554921, 0.098000, 0.365528, 0.365958, 61.748207, 6300, 0.018000
