1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB00.AIM, 0.326267, 0.214232, 0.217921, 0.173849, 0.432252, 0.436939, 0.314005, 0.154100, 0.155816, 0.108178, 0.154105, 0.155816, 0.140527, 807.078102, 999.961549, 0.872620, 0.106352, 0.107502, 0.092900, 964.959160, 999.967490, 0.923539, 0.682423, 0.098000, 2.377338, 2.493054, 31.818422, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB01.AIM, 0.304205, 0.227007, 0.231067, 0.176906, 0.446220, 0.460534, 0.313018, 0.155646, 0.162381, 0.106394, 0.189107, 0.180425, 0.154105, 1.397413, 1.905843, 0.765614, 0.125558, 0.116707, 0.106566, 1.565612, 3.346308, 0.771208, 0.341981, 0.098013, 0.626158, 0.631493, 55.026122, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB02.AIM, 0.328263, 0.217663, 0.220721, 0.173638, 0.414376, 0.419446, 0.303001, 0.143239, 0.146751, 0.103111, 0.188457, 0.178286, 0.151238, 1.131303, 1.316288, 0.729747, 0.126020, 0.116658, 0.102734, 1.181503, 1.484370, 0.736898, 0.417074, 0.098000, 0.918454, 8.944089, 6.869569, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB03.AIM, 0.345719, 0.214422, 0.215521, 0.173758, 0.395584, 0.392476, 0.301469, 0.135338, 0.135086, 0.101902, 0.196776, 0.193161, 0.158131, 0.962035, 0.962281, 0.693005, 0.133916, 0.129759, 0.108279, 0.967735, 0.977958, 0.692074, 0.336501, 0.098000, 0.128824, 0.128472, 64.696196, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB04.AIM, 0.337342, 0.221146, 0.224163, 0.184230, 0.397495, 0.404407, 0.324529, 0.134961, 0.138333, 0.110196, 0.215762, 0.210963, 0.165794, 0.892272, 0.935225, 0.766434, 0.151693, 0.145709, 0.113503, 0.885099, 0.934758, 0.767384, 0.483538, 0.292842, 0.077437, 0.608545, 0.705640, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB05.AIM, 0.336057, 0.221956, 0.226892, 0.192982, 0.392877, 0.406140, 0.342638, 0.132763, 0.138451, 0.116545, 0.223647, 0.215765, 0.173917, 0.852954, 0.926519, 0.815075, 0.159467, 0.150254, 0.119131, 0.843835, 0.921828, 0.816232, 0.484283, 0.269956, 0.080831, 0.350598, 0.720258, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB06.AIM, 0.331172, 0.226782, 0.230751, 0.193055, 0.411548, 0.421900, 0.342861, 0.139784, 0.144707, 0.116740, 0.222778, 0.210096, 0.172772, 0.926382, 1.026942, 0.822101, 0.157207, 0.143790, 0.118738, 0.918485, 1.031573, 0.823358, 0.476403, 0.227297, 0.088496, 0.160680, 0.852148, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB07.AIM, 0.329591, 0.230385, 0.232821, 0.189368, 0.428142, 0.431794, 0.336815, 0.146089, 0.148357, 0.114906, 0.221132, 0.212556, 0.166833, 1.000739, 1.062846, 0.821183, 0.154158, 0.145358, 0.113497, 0.997516, 1.071324, 0.827904, 0.478173, 0.213726, 0.092882, 0.140460, 0.989611, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB08.AIM, 0.333525, 0.232311, 0.235402, 0.191676, 0.433539, 0.435688, 0.343886, 0.148318, 0.149304, 0.118040, 0.219345, 0.222096, 0.163527, 1.033700, 1.029943, 0.880936, 0.151446, 0.153628, 0.109738, 1.034875, 1.030914, 0.900793, 0.412382, 0.126235, 0.118771, 0.118648, 21.861998, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B06B-T/SUB09.AIM, 0.345160, 0.228257, 0.233313, 0.193161, 0.413356, 0.425722, 0.347814, 0.140986, 0.145188, 0.119904, 0.218475, 0.224436, 0.161643, 0.948092, 0.977965, 0.918120, 0.151736, 0.155857, 0.106964, 0.943592, 0.973589, 0.952907, 0.369009, 0.098007, 0.151307, 0.150689, 88.556068, 5700, 0.018000
