1:filename, 2:phi_2, 3:l_c_x, 4:l_c_y, 5:l_c_z, 6:d_sph_x, 7:d_sph_y, 8:d_sph_z, 9:l_ex_x, 10:l_ex_y, 11:l_ex_z, 12:xi_ts_x, 13:xi_ts_y, 14:xi_ts_z, 15:d_ts_x, 16:d_ts_y, 17:d_ts_z, 18:xi_grf_x, 19:xi_grf_y, 20:xi_grf_z, 21:d_grf_x, 22:d_grf_y, 23:d_grf_z, 24:d_shs, 25:tau, 26:l_ex_tilde, 27:xi_ts_tilde, 28:l_ts_tilde, 29:pos-z, 30:el-size
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB00.AIM, 0.329517, 0.324890, 0.340230, 0.343013, 0.731764, 0.784150, 0.880681, 0.253803, 0.270939, 0.308773, 0.319239, 0.336342, 0.317204, 2.146566, 2.335632, 7.008312, 0.216127, 0.228711, 0.217542, 2.261761, 2.464579, 999.999809, 0.820819, 0.114406, 0.307558, 0.307560, 314.839038, 300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB01.AIM, 0.323464, 0.337517, 0.342171, 0.346894, 0.739772, 0.746794, 0.850540, 0.255662, 0.257340, 0.295872, 0.335886, 0.341806, 0.322183, 2.018345, 1.990981, 3.875443, 0.230968, 0.236909, 0.208449, 2.062006, 2.017690, 20.805618, 0.736206, 0.099420, 0.339067, 0.339086, 399.131349, 900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB02.AIM, 0.307344, 0.348094, 0.349643, 0.344202, 0.765653, 0.746901, 0.825271, 0.262467, 0.254298, 0.288466, 0.355215, 0.374569, 0.311166, 2.011403, 1.791290, 3.968096, 0.250784, 0.273651, 0.203080, 2.010134, 1.755783, 54.929955, 0.930978, 0.279553, 0.165466, 2.022833, 1.533638, 1500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB03.AIM, 0.312536, 0.353308, 0.351705, 0.347419, 0.777659, 0.755803, 0.847402, 0.264522, 0.258772, 0.297701, 0.375047, 0.365901, 0.309035, 1.942007, 1.877987, 5.731203, 0.271909, 0.261235, 0.209680, 1.904607, 1.858654, 801.859573, 0.955859, 0.319142, 0.157681, 1.881965, 1.495999, 2100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB04.AIM, 0.309872, 0.353110, 0.350776, 0.339823, 0.773769, 0.765242, 0.796715, 0.262885, 0.262656, 0.276502, 0.377530, 0.354541, 0.314928, 1.909053, 2.015508, 3.000985, 0.275297, 0.249288, 0.207533, 1.867602, 2.017832, 4.072021, 0.934450, 0.301630, 0.160243, 2.113605, 1.535384, 2700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB05.AIM, 0.308352, 0.359342, 0.360684, 0.347608, 0.781998, 0.799782, 0.830611, 0.265183, 0.271277, 0.286767, 0.389206, 0.386636, 0.331676, 1.885875, 1.996459, 2.961748, 0.286896, 0.283110, 0.221452, 1.838902, 1.948787, 3.617738, 0.915164, 0.284773, 0.162779, 2.147302, 1.534633, 3300, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB06.AIM, 0.341867, 0.382337, 0.387459, 0.388012, 0.852864, 0.902591, 1.032588, 0.290596, 0.310391, 0.370229, 0.409868, 0.394546, 0.370273, 2.139079, 2.592572, 972.054156, 0.291755, 0.269167, 0.260863, 2.102370, 2.673765, 845.475327, 1.042594, 0.098000, 0.656567, 0.656616, 307.619149, 3900, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB07.AIM, 0.352694, 0.399692, 0.399576, 0.420600, 0.922888, 0.943818, 1.190428, 0.318092, 0.331165, 0.424330, 0.405907, 0.366520, 0.424368, 2.643654, 3.934497, 971.870347, 0.275310, 0.235406, 0.298965, 2.732555, 7.094131, 999.991985, 1.263391, 0.139496, 0.344137, 0.376731, 6.623403, 4500, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB08.AIM, 0.322303, 0.382964, 0.380405, 0.390191, 0.895864, 0.895023, 1.015803, 0.308874, 0.312265, 0.357827, 0.379834, 0.349765, 0.357828, 2.756695, 3.569889, 999.866612, 0.258327, 0.228586, 0.252670, 2.943064, 5.465758, 999.999320, 0.868929, 0.098004, 0.478567, 0.478488, 252.348657, 5100, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB09.AIM, 0.334670, 0.342468, 0.348383, 0.346788, 0.789453, 0.798758, 0.841615, 0.274749, 0.276566, 0.295079, 0.313410, 0.327840, 0.303806, 2.965010, 2.686391, 6.392163, 0.203578, 0.215967, 0.206238, 4.166480, 3.183932, 991.055386, 0.856379, 0.098000, 1.100164, 1.099939, 168.531026, 5700, 0.018000
/home/loewe/sph/projects/152_ASMEx/data/ct/B07A-T/SUB10.AIM, 0.363426, 0.317812, 0.323468, 0.324664, 0.707271, 0.727824, 0.771126, 0.249529, 0.254434, 0.270230, 0.267176, 0.285095, 0.280872, 3.570258, 2.895591, 5.097183, 0.171407, 0.181288, 0.186732, 713.428339, 4.947547, 948.716394, 1.059274, 0.098000, 1.678337, 2.005086, 17.450134, 6300, 0.018000
