Slab,Design,19H,19V,21H,21V,37H,37V,89H,89V,150H,150V
A01,1,0.97,0.99,0.97,0.99,0.99,0.99,NaN,NaN,NaN,NaN
A02,1,NaN,NaN,0.98,0.99,0.99,0.99,NaN,NaN,NaN,NaN
A03,2,1.00,1.00,1.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN
A05,3,1.00,1.00,1.00,1.00,NaN,NaN,0.99,1.00,0.98,0.99
A06,3,0.97,0.99,0.98,0.98,NaN,NaN,0.98,0.99,0.95,0.97
A07,3,0.98,0.99,0.98,0.98,NaN,NaN,0.98,0.99,0.98,0.97
B01,4,0.99,0.99,0.99,0.99,0.98,0.99,NaN,NaN,NaN,NaN
B02,4,0.97,0.98,0.98,0.99,0.98,0.99,NaN,NaN,NaN,NaN
B03,5,0.97,1.00,1.00,1.00,0.99,1.00,NaN,NaN,NaN,NaN
B04,5,0.99,1.00,1.00,1.00,1.00,1.00,NaN,NaN,NaN,NaN
B05,5,0.98,0.99,1.00,0.99,0.98,0.99,1.00,1.00,0.99,0.99
B06,5,0.99,0.99,0.99,1.00,0.98,1.00,0.98,1.00,0.97,0.99
B07,5,0.99,1.00,1.00,1.00,0.99,1.00,0.99,0.99,0.98,0.99
