Sample,Freq,TBMH,TBMV,TBMskyH,TBMskyV,TBAH,TBAV,TBAskyH,TBAskyV
A01,18.7,22.94,23.43,18.06,17.9,243.27,258.29,14.01,13.24
A01,21,30.42,30.87,24.11,24.01,238.51,257.81,18.59,18.47
A01,36.5,51.66,52.13,38.21,38.58,243.81,257.82,25.23,25.51
A02,21,46.41,54.53,15.22,15.83,152.52,217.99,14.39,14.85
A02,36.5,93.71,115.81,23.89,24.98,144.62,192.49,22.21,23.29
A03,18.7,37.28,35.96,19.57,19.83,255.18,272.08,19.57,19.83
A03,21,50.94,50.88,32.01,32.13,257.1,272.19,32.01,32.13
A04,18.7,77.45,79.14,19.3,19.16,221.22,254.11,19.3,19.16
A04,21,111.81,111.96,29.17,29.09,217.65,248.46,29.17,29.09
A05,18.7,47.95,48.96,19.43,17.84,225.29,262.26,19.79,18.51
A05,21,63.11,64.68,28.63,28.7,239.14,263.03,29.36,29.46
A05,89,180.79,201.66,54.13,53.37,193.85,202.99,65.79,65.02
A05,150,205.16,212.83,96.23,100.98,205.65,212.11,109.7,111.87
A06,18.7,28.54,31.8,7.4,9.11,228.19,256.5,8.29,9.89
A06,21,41.92,45.64,12.63,12.23,235.55,256.59,13.46,12.77
A06,89,177.19,192.06,27.48,27.36,185.05,198.34,29.58,27.76
A06,150,181.88,188.24,42.61,34.88,184.2,189.46,47.67,35.22
A07,18.7,27.34,27.94,9.78,10.2,229.06,258.48,10.59,11
A07,21,37.85,38.03,13.8,14.4,224.12,257.64,14.55,14.59
A07,89,165.43,183.3,30.17,30.54,168.96,186.3,30.17,30.54
A07,150,175.07,186.75,45.36,39.93,174.46,187.88,45.36,39.93
B01,18.7,18.73,18.33,10.87,9.81,246.71,257.23,11.04,9.74
B01,21,28.69,28.3,17.92,17.49,245.98,258.02,17.83,17.46
B01,36.5,42.71,44.08,21.99,22.48,241.77,254.49,21.58,21.81
B02,18.7,20.6,19.3,8.66,8.21,229.52,251.64,7.51,6.49
B02,21,30.56,28.61,13.69,13.72,231.56,252.8,11.77,11.65
B02,36.5,54.75,54.55,24,24.27,228.46,247.58,19.49,19.86
B03,18.7,24.64,23.74,13.33,11.84,234.63,264.67,13.35,11.48
B03,21,37.7,36.85,23.79,23.76,243.67,265.3,23.15,23.13
B03,36.5,57.32,56.63,25.16,26.32,241.55,263.11,24.26,25.41
B04,18.7,24.78,22.95,10.38,9.12,229.91,261.78,9.64,9.03
B04,21,31.14,30.06,13.61,13.61,232.52,260.89,13.3,11.48
B04,36.5,64.69,63.53,21.54,21.8,229.18,255.05,21.21,21.67
B05,18.7,35.56,33.28,7.71,8.02,233.71,255.74,8.01,8.29
B05,21,43.27,41.56,13.73,12.75,242.98,257.92,14.28,13.4
B05,36.5,85.96,88.68,20.57,21.87,226.34,241.98,20.84,21.94
B05,89,164.3,163.6,36.5,35.8,180.2,177.1,34.4,37.9
B05,150,207,191.9,53.3,54.9,203,190.4,53.6,58.3
B06,18.7,22.89,22.31,9.02,8.43,238.45,260.81,9.11,8.27
B06,21,30.09,28.78,12.46,12.46,239.06,261.53,11.49,11.37
B06,36.5,63.62,62.54,19.83,21.34,236.89,258.01,19.95,21.34
B06,89,195.41,200.85,28.96,30.05,208.27,210.84,30.43,31.09
B06,150,201.43,194.45,47.82,44.46,202.49,193.59,45.18,43.68
B07,18.7,55.39,55.25,10.18,9.65,209.77,242.7,10.08,9.5
B07,21,62.84,64.1,11.72,12.22,214.42,242.58,11.23,11.74
B07,36.5,124.04,131.1,19.12,20.8,195.59,211.41,19.83,20.91
B07,89,167.92,165.34,29.24,29.18,167.85,165.21,27.02,27.93
B07,150,190.38,180.01,42.67,45.89,189.56,179.56,36.66,44.31
