,depth below surface (mm),pex_x,pex_y,pex_z,mean_pex (mm),pc_x,pc_y,pc_z ,mean_pc (mm),phi_i,rho (kgm-3),ssa (mm-1),,,pex [(px+py+pz)/3] (mm),Aniso [(pex_x+pex_y)/2]/pex_z
NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,
NaN,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,
'D0001424_GREY_TOP00_corr.dat',2.56,0.069251686,0.06726072,0.06525653,0.066756366,0.081370767,0.0788669,0.076723602,0.078421218,0.154622,141.788374,43.11986102,0.066756366,,0.067256312,1.045967412
'D0001424_GREY_TOP01_corr.dat',3.84,0.070958477,0.063284416,0.062612634,0.06486704,0.083706328,0.079066353,0.077630441,0.079508391,0.160368,147.057456,42.24117677,,,0.065618509,1.072011219
'D0001424_GREY_TOP02_corr.dat',5.12,0.069612218,0.064717939,0.064180413,0.065672746,0.084299655,0.080737215,0.078597423,0.080557929,0.166962,153.104154,41.36342685,,,0.06617019,1.046504307
'D0001424_GREY_TOP03_corr.dat',6.4,0.066113613,0.065523764,0.06285535,0.064337019,0.08180261,0.080103586,0.077792473,0.079372785,0.187495,171.932915,40.94627624,,,0.064830909,1.047145368
'D0001424_GREY_TOP04_corr.dat',7.68,0.066133665,0.06650246,0.064031425,0.065174744,0.080985364,0.079539892,0.077168706,0.078715667,0.181947,166.845399,41.57002193,,,0.06555585,1.035711172
'D0001424_GREY_TOP05_corr.dat',8.96,0.069440966,0.070423587,0.06876102,0.069346648,0.080171657,0.079552387,0.07694636,0.078404191,0.140136,128.504712,43.86826725,,,0.069541858,1.017033728
'D0001424_GREY_TOP06_corr.dat',10.24,0.065656185,0.067884781,0.06419645,0.065483467,0.077180199,0.07768726,0.073698377,0.075566053,0.111075,101.855775,47.05419776,,,0.065912472,1.040096189
'D0001424_GREY_TOP07_corr.dat',11.52,0.067718461,0.07185643,0.063804582,0.066796014,0.082869994,0.084437071,0.078085604,0.080869568,0.123367,113.127539,43.36034029,,,0.067793158,1.093768554
'D0001424_GREY_TOP08_corr.dat',12.8,0.070141615,0.071603091,0.059365453,0.065118903,0.085504029,0.086715702,0.077235052,0.081672459,0.129152,118.432384,42.65075457,,,0.067036719,1.193831587
'D0001424_GREY_TOP09_corr.dat',14.08,0.062383164,0.061116941,0.050019498,0.055884776,0.078156241,0.079206422,0.069738975,0.074210153,0.109032,99.982344,48.02404854,,,0.057839868,1.234519634
'D0001424_GREY_TOP10_corr.dat',15.36,0.053579224,0.055058455,0.046490513,0.050404676,0.074674851,0.076825452,0.06849151,0.072120831,0.0923431,84.6786227,50.34090102,,,0.051709397,1.168385466
'D0001424_GREY_TOP11_corr.dat',16.64,0.057425299,0.058326871,0.048425586,0.053150836,0.078156954,0.079851775,0.07120325,0.075103807,0.0966049,88.5866933,48.11447677,,,0.054725919,1.195155081
'D0001424_GREY_TOP12_corr.dat',17.92,0.058838387,0.059015758,0.050425782,0.054676427,0.07880462,0.079946777,0.070621292,0.074998495,0.099407,91.156219,48.03259034,,,0.056093309,1.168590148
'D0001424_GREY_TOP13_corr.dat',19.2,0.056735546,0.055987224,0.046525915,0.05144365,0.076767541,0.077454378,0.066993628,0.072052294,0.102103,93.628451,49.84696282,,,0.053082895,1.211397678
'D0001424_GREY_TOP14_corr.dat',20.48,0.060926774,0.061257994,0.044819427,0.052955905,0.078844941,0.079429871,0.066415363,0.072776385,0.106939,98.063063,49.08520827,,,0.055668065,1.363078206
'D0001424_GREY_TOP15_corr.dat',21.76,0.06265098,0.061921221,0.048904996,0.055595548,0.082299593,0.082019885,0.070681308,0.076420524,0.104877,96.172209,46.8524923,,,0.057825732,1.273614267
'D0001424_GREY_TOP16_corr.dat',23.04,0.059824284,0.056880516,0.049279172,0.053815786,0.082096448,0.080445585,0.071434078,0.076352547,0.109222,100.156574,46.66657664,,,0.055327991,1.184118914
'D0001424_GREY_TOP17_corr.dat',24.32,0.058612531,0.059064765,0.048736931,0.053787789,0.080039327,0.081337079,0.070701533,0.075694868,0.107911,98.954387,47.14132014,,,0.055471409,1.207270275
'D0001424_GREY_TOP18_corr.dat',25.6,0.057907079,0.059558136,0.049916242,0.054324425,0.077833867,0.081030467,0.070773302,0.075102734,0.107077,98.189609,47.55741619,,,0.055793819,1.176623185
'D0001424_GREY_TOP19_corr.dat',26.88,0.063280183,0.059512908,0.050622653,0.0560096,0.081445217,0.080946404,0.071467296,0.076331553,0.101,92.617,47.11026887,,,0.057805248,1.212827491
'D0001424_GREY_TOP20_corr.dat',28.16,0.065945302,0.056893868,0.051929131,0.056674358,0.085066497,0.080147334,0.074743976,0.078675446,0.0881755,80.8569335,46.35878397,,,0.0582561,1.182757793
'D0001424_GREY_TOP21_corr.dat',29.44,0.06235459,0.053388275,0.052393336,0.055132384,0.083581757,0.079034988,0.076037708,0.07867304,0.0888834,81.5060778,46.32420976,,,0.0560454,1.104557124
'D0001424_GREY_TOP22_corr.dat',30.72,0.064689038,0.058891884,0.05283382,0.05731214,0.086595795,0.083145404,0.075433688,0.080152144,0.0983871,90.2209707,44.99507352,,,0.058804914,1.16952475
'D0001424_GREY_TOP23_corr.dat',32,0.066355438,0.068423175,0.05244384,0.059916573,0.086117222,0.085449342,0.071435152,0.078609217,0.0974122,89.3269874,45.92783561,,,0.062407485,1.284980407
'D0001424_GREY_TOP24_corr.dat',33.28,0.062055801,0.070276016,0.050760796,0.058463352,0.082541348,0.084470752,0.069312301,0.076409175,0.0858187,78.6957479,47.85714797,,,0.061030872,1.303484461
'D0001424_GREY_TOP25_corr.dat',34.56,0.062629832,0.070328103,0.047797881,0.057138424,0.083803527,0.085618255,0.070813619,0.077762255,0.0804008,73.7275336,47.30311372,,,0.060251939,1.390835044
'D0001424_GREY_TOP26_corr.dat',35.84,0.063042172,0.070047619,0.051810851,0.059177873,0.083471202,0.086253406,0.072736181,0.078799242,0.0764367,70.0924539,46.88183657,,,0.061633547,1.284381439
'D0001424_GREY_TOP27_corr.dat',37.12,0.061273513,0.06760458,0.053367208,0.058903127,0.083037246,0.085872085,0.072440223,0.078447444,0.0641284,58.8057428,47.71967332,,,0.060748434,1.207465194
'D0001424_GREY_TOP28_corr.dat',38.4,0.059746348,0.067442975,0.047336493,0.055465577,0.082852127,0.084979731,0.067390174,0.075653051,0.0557218,51.0968906,49.92677405,,,0.058175272,1.343459505
'D0001424_GREY_BOT00_corr.dat',39.68,0.063839534,0.059613409,0.051174799,0.056450635,0.081052588,0.080015858,0.070264691,0.075399457,0.0747068,68.5061356,49.08752593,,,0.058209247,1.206188841
'D0001424_GREY_BOT01_corr.dat',40.96,0.067341835,0.067545768,0.050670871,0.059057336,0.083336095,0.082774867,0.069837124,0.076446302,0.0969031,88.8601427,47.25392189,,,0.061852825,1.331017205
'D0001424_GREY_BOT02_corr.dat',42.24,0.069786372,0.073082773,0.050358596,0.060896584,0.082750489,0.082427897,0.069746593,0.076167893,0.112444,103.111148,46.61050558,,,0.064409247,1.418517957
'D0001424_GREY_BOT03_corr.dat',43.52,0.068572251,0.071428692,0.051944889,0.06097268,0.081513308,0.08134894,0.070744981,0.076088052,0.119598,109.671366,46.28332428,,,0.063981945,1.34759114
'D0001424_GREY_BOT04_corr.dat',44.8,0.063693621,0.067932069,0.055157539,0.060485192,0.08066742,0.080755409,0.074179097,0.077445256,0.110729,101.538493,45.93030231,,,0.062261077,1.193179516
'D0001424_GREY_BOT05_corr.dat',46.08,0.059018037,0.066599191,0.058430861,0.060619737,0.078901067,0.080245033,0.076069369,0.07782121,0.0840971,77.1170407,47.07728938,,,0.061349363,1.07492193
'D0001424_GREY_BOT06_corr.dat',47.36,0.059334501,0.064688643,0.055220815,0.058616194,0.080081614,0.079634426,0.0735857,0.07672186,0.0707474,64.8753658,48.44786629,,,0.059747987,1.122974582
'D0001424_GREY_BOT07_corr.dat',48.64,0.061409324,0.056350878,0.053216541,0.056048321,0.083316072,0.077372746,0.073283803,0.076814106,0.0785739,72.0522663,47.98212983,,,0.056992247,1.106424809
NaN,49.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,51.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,52.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,53.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,55.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,56.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
NaN,57.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,,,NaN,#VALUE!
'D0001411_GREY_TOP00_corr.dat',58.88,0.099143798,0.094939448,0.07850061,0.087771116,0.137286799,0.133637236,0.112963414,0.124212716,0.167209,153.330653,26.81822055,,,0.090861343,1.236189418
'D0001411_GREY_TOP01_corr.dat',60.16,0.092691983,0.090776376,0.076885464,0.084309822,0.130562205,0.127741217,0.110500071,0.119825891,0.191615,175.710955,26.98531984,,,0.086784626,1.193127731
'D0001411_GREY_TOP02_corr.dat',61.44,0.088544407,0.087122275,0.071110317,0.079471829,0.126788349,0.125057385,0.106438103,0.116180485,0.211406,193.859302,27.15065277,,,0.082259001,1.235170147
'D0001411_GREY_TOP03_corr.dat',62.72,0.095670144,0.095468013,0.075556004,0.085562541,0.131814282,0.131858645,0.110292068,0.121064266,0.194573,178.423441,26.6115519,,,0.088898067,1.264877362
'D0001411_GREY_TOP04_corr.dat',64,0.097149594,0.100603538,0.079112862,0.088994714,0.134,0.136809361,0.114239883,0.124822282,0.168788,154.778596,26.63665457,,,0.092288592,1.249816571
'D0001411_GREY_TOP05_corr.dat',65.28,0.109400366,0.100705944,0.07618793,0.090620543,0.136798729,0.136736639,0.1079126,0.122340142,0.140147,128.514799,28.11351983,,,0.095431804,1.378868743
'D0001411_GREY_TOP06_corr.dat',66.56,0.117122895,0.103436452,0.069503556,0.089891615,0.138070246,0.135845459,0.101155499,0.119056676,0.116073,106.438941,29.69768782,,,0.096688026,1.58667671
'D0001411_GREY_TOP07_corr.dat',67.84,0.101870437,0.100803573,0.07594713,0.088642068,0.129965769,0.130158839,0.107161539,0.118611922,0.131086,120.205862,29.30275434,,,0.092873934,1.334309864
