OBSTIME_START,AVG_T,AVG_TD,AVG_WS_10MIN,MAX_WG_10MIN,AVG_P_SEA,AVG_P_ST,MODE_WW_AWS,AVG_HH_AWS,MODE_HH_AWS,AVG_N_AWS,AVG_SNOW_AWS,SMMA2mean,SMMA10mean,SMMB2mean,SMMB10mean,SMMC2mean,TSMC2mean,TSMB2mean,TTM1mean,TTM2mean,SHM1mean,SHM2mean,SMMA2std,SMMA10std,SMMB2std,SMMB10std,SMMC2std,TSMC2std,TSMB2std,TTM1std,TTM2std,SHM1std,SHM2std,GWImean,GWIstd
2011/07/01 02:00:00,13.68,10.28,2.98,8.1,1016.7692,995.2615,0,364.62,360,8,99999,7.110000e-02,8.083478e-02,9.214348e-02,7.299565e-02,-5.059130e-02,1.567565e+01,1.592000e+01,1.420826e+01,1.426000e+01,4.775000e+00,4.716667e+00,3.599517e-04,2.097798e-04,2.794810e-04,1.680535e-04,2.817713e-05,2.195811e-01,2.656739e-01,7.449228e-01,7.380644e-01,4.465143e-01,2.409472e-01,-18,2
2011/07/01 06:00:00,12.64,10.28,2.64,7.2,1017.736,996.108,0,282,240,8,99999,6.987083e-02,8.010417e-02,9.138333e-02,7.247500e-02,-5.050417e-02,1.511208e+01,1.553625e+01,1.260542e+01,1.271208e+01,5.540000e+00,5.354545e+00,3.310075e-04,2.009958e-04,1.433721e-04,1.421560e-04,1.998263e-05,8.416151e-02,7.301898e-02,2.015147e-01,1.694348e-01,1.273735e+00,3.143930e-01,-17.5,2.713602101
2011/07/01 10:00:00,14.45,10.68,2.83,6.2,1018.4769,996.9577,0,400.38,300,7,99999,6.935000e-02,7.943750e-02,9.143333e-02,7.206667e-02,-5.049167e-02,1.543500e+01,1.673917e+01,1.457625e+01,1.467625e+01,5.450000e+00,5.488889e+00,2.958040e-04,2.117634e-04,3.223180e-04,8.498366e-05,3.996526e-05,5.333620e-01,9.154230e-01,1.428145e+00,1.386803e+00,7.500000e-01,2.514157e-01,-12.625,5.804862494
2011/07/01 14:00:00,18.17,11.6,2.76,6,1017.052,995.88,0,488.4,0,0,99999,6.837917e-02,7.866250e-02,9.192083e-02,7.190000e-02,-5.050833e-02,1.753167e+01,1.865958e+01,1.844333e+01,1.855042e+01,4.762500e+00,5.085714e+00,8.746329e-04,3.225065e-04,3.341396e-04,5.773503e-05,9.965217e-05,3.213470e-01,7.732533e-01,4.673923e-01,5.643320e-01,4.580871e-01,3.757985e-01,31.66666667,13.88044188
2011/07/01 18:00:00,16.71,11.46,2.46,6.1,1016.256,994.944,0,3942,4050,4,99999,6.608750e-02,7.744167e-02,8.977917e-02,7.145417e-02,-5.060000e-02,1.648042e+01,1.734833e+01,1.679292e+01,1.681333e+01,3.075000e+00,5.211111e+00,6.036780e-04,3.593010e-04,8.445804e-04,2.309025e-04,1.387779e-17,3.519171e-01,5.923869e-01,1.096933e+00,1.102439e+00,8.870597e-01,4.605418e-01,-9.875,5.303300859
2011/07/01 22:00:00,13.8,10.76,1.9,4.9,1015.9692,994.4577,0,2830.38,3600,7,99999,6.448750e-02,7.633333e-02,8.757083e-02,7.072917e-02,-5.058333e-02,1.526292e+01,1.545333e+01,1.371417e+01,1.373708e+01,99999,4.533333e+00,4.294497e-04,2.910708e-04,4.791304e-04,2.111065e-04,3.726780e-05,3.092798e-01,4.204429e-01,7.874850e-01,7.820884e-01,99999,4.027682e-01,-22,6.359594676
2011/07/02 02:00:00,12.42,9.56,2.19,5.6,1015.52,993.94,0,1023.6,420,7,99999,6.333043e-02,7.537826e-02,8.619565e-02,7.005652e-02,-5.053043e-02,1.436739e+01,1.442913e+01,1.231174e+01,1.238217e+01,7.325000e+00,6.250000e+00,2.526981e-04,2.376635e-04,2.404312e-04,1.610457e-04,4.601307e-05,1.396959e-01,7.620984e-02,2.061374e-01,2.281105e-01,1.163687e-01,2.500000e-01,-20.25,5.119037552
2011/07/02 06:00:00,12.09,9.33,3.16,8,1015.196,993.592,0,356.4,360,8,99999,6.264167e-02,7.453750e-02,8.552917e-02,6.957500e-02,-5.050000e-02,1.411083e+01,1.439417e+01,1.205583e+01,1.214042e+01,6.628571e+00,6.340000e+00,1.823839e-04,2.446298e-04,1.540540e-04,1.266557e-04,6.938894e-18,4.517712e-02,8.774569e-02,1.164373e-01,1.158835e-01,4.365916e-01,1.019804e-01,-22.25,3.934116512
2011/07/02 10:00:00,12.5,9.38,3.19,7.8,1015.9,994.2885,0,384.23,300,8,99999,6.212500e-02,7.375833e-02,8.537083e-02,6.924583e-02,-5.050000e-02,1.421792e+01,1.499417e+01,1.250500e+01,1.261917e+01,6.600000e+00,5.850000e+00,1.450575e-04,2.177856e-04,4.545297e-05,9.991316e-05,6.938894e-18,9.291480e-02,2.589388e-01,3.475030e-01,3.571871e-01,8.700484e+01,2.179449e-01,-14.91666667,4.144181756
2011/07/02 14:00:00,12.37,9,3.53,7,1016.176,994.556,81,831.6,450,7,99999,6.153750e-02,7.301250e-02,8.493333e-02,6.893750e-02,-5.050833e-02,1.421125e+01,1.497292e+01,1.241083e+01,1.249750e+01,6.150000e+00,6.257143e+00,1.628202e-04,2.087912e-04,2.074983e-04,1.072866e-04,2.763854e-05,7.933644e-02,1.342100e-01,4.927213e-01,4.856289e-01,8.500000e-01,2.920721e-01,-20.72727273,7.142701297
