,Time(h),d(m),Ts(C),Ws,T4.9V,T10.4V,T21V,T35V,T94V,T4.9H,T10H,T21H,T35H,T94H,Ts4.9,Ts10,Ts21,Ts35,Ts94
1,14.9,0,0,0.01,263,267,268,267.5,259.8,233,247,254,267,255.5,6,6,22,19.5,50
2,15.08,0.001,-0.5,0,263.5,266.1,268.1,268.3,258.1,,,,,,6,6,22,19.5,50
3,15.33,0.002,-1,0,262.3,266.7,268.2,268,257.2,233.8,251.1,262.1,267.5,250.8,6,6,18.5,14.5,43.5
4,16.75,0.01,-1,0,261.4,268.5,268.6,268.1,249.8,234,261,266.5,260,245,6,6,23,24.5,57
5,19,0.018,-1,0,260.3,266.6,268.3,266.9,233.2,255.4,244.4,261.1,263.7,229.2,6,6,22.5,31,68
6,19.67,0.022,-1,0,261.1,266.6,267.6,264.9,212.7,257.8,242.4,254.7,260.8,210,6,6,19,21,30
7,20.13,0.025,-2,0,261,267,267.1,261.9,206.9,255.2,249.5,254.4,257.7,204.4,6,6,15,19,41
8,21.42,0.034,-3,0,262.4,267.6,265.9,255.2,185.5,239.7,253.8,254.7,250.3,179.9,6,6,16,20,36
9,22.13,0.041,-4,0,262.8,267.2,265.2,248.3,174.1,242.1,254.2,253.8,243.1,170.8,6,6,16,19,32
10,22.52,0.047,-6,0,263,265.8,264.7,243.1,161,248.5,256.2,252.1,236.9,154.5,6,6,15.4,13,18
11,23.67,0.06,-9,0,265.9,268.8,260.3,222.4,147.1,250.6,258.8,245,214.8,142.7,6,6,15,15,18
12,24.33,0.07,-10,0,266.4,268.7,258.6,213.4,145.1,243.6,258.9,241.9,204.4,140.1,6,6,13,13,17
13,24.88,0.075,-11,0,266.9,269.4,257.2,206.2,143.3,253.3,257.8,239.1,197.5,138.5,6,6,14,15,17
14,26.25,0.087,-11,0,266.4,268.3,253.4,194.4,141.7,249.9,258,231.2,183.2,136.8,6,6,14,14.4,15.5
15,27.33,0.097,-12,0,266.4,267.1,250.3,186.7,140.4,255.5,254.2,226.2,176.2,135.7,6,6,14,14.4,16.5
16,28.22,0.107,-12,0,265.1,266,248.8,183.3,139.9,251.5,253.7,222.5,171.8,135,6,6,13.5,15,16
17,29.3,0.117,-13,0,264.9,266.7,246.4,178,140.3,246.6,250.9,218.4,166.4,135.5,6,6,13,12,17
18,30.22,0.135,-13,0,264.1,265.4,245.1,176.5,140,250.7,251.1,216.5,164.8,135.1,6,6,14,14,16.5
19,31.15,0.15,-12,0,264.6,266.1,242.8,177.2,141,248.7,249,212.6,165.9,135.5,6,6,13.5,19,17.5
20,32.3,0.2,-10.4,0,263.6,264.7,241,173.1,143.3,247.1,249.6,210.6,161.5,138.5,6,6,13,15,18
21,33.27,0.21,-6.4,0,265.3,265.7,240.3,172.5,146.5,248.8,247,209.2,160.8,141.5,6,6,13,15,21
22,34.27,0.22,-1,0.0005,264.1,266.5,245.2,192.2,173.2,246.2,247.5,214.2,176.2,163.8,6,6,15,15,30
23,35.27,0,0,0.01,266.3,270.4,268.5,266.9,244.4,246.6,263.5,260.2,265.8,235.7,6,6,15,15,30
24,37.7,0,0,0.05,258.5,265.8,268,265.8,252.8,210.1,243,241.2,262.2,244.4,6,6,15,15,30
25,38.33,0,0,0.06,255.9,264.4,267.2,265.4,251.6,205,239.1,241.9,260.8,243.1,6,6,16,14,36
26,39,0,0,0.08,253.6,262.1,266.7,264.8,250.3,199.7,235.5,245,259,242,6,6,15.5,13.5,30
27,41.3,0.006,-0.3,0,258,263.1,266.4,262.5,227.5,223.9,249.8,255.2,257.4,218.1,6,6,15,13,26
28,43.05,0.013,-0.5,0,265.4,269.3,267.2,258.5,195.8,260.6,260.4,259.7,254.4,189.6,6,6,18,16,50
29,44.6,0.018,-1,0,266.2,268.6,266.2,250.1,188.4,256.6,257.8,255.6,246.2,182.4,6,6,21.2,23,69
30,45.75,0.031,-1,0,264.6,269,265,241.9,173.6,240.1,263.7,252.9,236.5,169.5,6,6,21,22.5,55
31,46.6,0.039,-1,0,266.3,269.2,263.5,234.4,164.4,238.9,256.7,249.3,229.2,158.9,6,6,21,22.5,52
32,54.5,0.13,-4.7,0,265.6,266.1,249.5,186.3,172.5,249.1,256.1,224.9,180.6,172.2,6,6,24,38,90
33,56.2,0.14,-5.2,0,264.1,265.7,245.3,175.9,151.1,251.8,252.9,218.4,166.7,146.7,6,6,20,20,38
